Fri Jan  9 15:36:56 2026    branch/profil/profiling_results_opt_C.prof

         1596940 function calls (1596890 primitive calls) in 36.329 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/uhf.py:810(eig)
       12    0.001    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/gto/moleintor.py:475(getints2c)
       20    0.000    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:1813(_eigh)
      576    0.001    0.000    0.002    0.000 /usr/lib/python3.12/contextlib.py:104(__init__)
       20    0.000    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:1336(eig)
     6052    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
       27    0.001    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/scipy/linalg/_decomp.py:284(eigh)
       11    0.001    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:680(hermi_sum)
     5184    0.001    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/einsumfunc.py:898(<genexpr>)
        8    0.000    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/gto/mole.py:3528(intor_symmetric)
       11    0.001    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:256(pack_tril)
        7    0.000    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/diis.py:202(update)
    10368    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
        7    0.000    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/diis.py:119(get_err_vec)
     21/7    0.000    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/diis.py:89(get_err_vec_orth)
